Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3333_S14_L001_R1_001	3333_S14_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160607.0	0.0	192-299	51.0	2.849190882091067	296.99856793290456	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
3333_S14_L001_R2_001	3333_S14_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160607.0	0.0	71-299	50.0	3.5048285566631594	296.9723860105724	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
3573_S11_L001_R1_001	3573_S11_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58289.0	0.0	35-299	52.0	4.8105131328381	293.88848667844707	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
3573_S11_L001_R2_001	3573_S11_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58289.0	0.0	35-299	52.0	3.875516821355659	293.88231055602256	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
3574_S8_L001_R1_001	3574_S8_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101536.0	0.0	35-299	52.0	4.498896942956193	293.99330286794833	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
3574_S8_L001_R2_001	3574_S8_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101536.0	0.0	35-299	52.0	4.850496375669714	293.9703553419477	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
3975_S30_L001_R1_001	3975_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138568.0	0.0	74-299	52.0	4.325674037295768	296.86926996131865	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
3975_S30_L001_R2_001	3975_S30_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138568.0	0.0	71-299	51.0	4.486605854165464	296.8587336181514	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
4180_S19_L001_R1_001	4180_S19_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82602.0	0.0	35-299	51.0	4.721435316336167	293.9872884433791	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
4180_S19_L001_R2_001	4180_S19_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82602.0	0.0	35-299	51.0	5.151206992566766	293.9569017699329	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
